"SANTA ANNA, RSIA",shanty56.dewi@solinda.co.id,dcee66d0-db65-11e7-898e-872e58fdd2b2
"JHON NIAGA PERKASA, CV",shanty57.dewi@solinda.co.id,8d2e1b80-db65-11e7-bfba-816d1d47d7c1
LINDA COSMETICS,shanty58.dewi@solinda.co.id,8d37cfe0-db65-11e7-8417-790e24d30c3f
MEGA COSMETICS,shanty59.dewi@solinda.co.id,8d3c8090-db65-11e7-b160-5d1404514b41
GLORIA,shanty60.dewi@solinda.co.id,8d418ca0-db65-11e7-90b1-2b2c5438bd7f
HING'S,shanty61.dewi@solinda.co.id,8d46a740-db65-11e7-b788-7166d9e010fe
ABADI,shanty62.dewi@solinda.co.id,8d4bba60-db65-11e7-bde4-13aa1ad1ced5
BOROBUDUR,shanty63.dewi@solinda.co.id,8d50d2b0-db65-11e7-a8aa-330771217e55
ROHANA,shanty64.dewi@solinda.co.id,8d55e940-db65-11e7-97ac-3316821dd771
PANTES,shanty65.dewi@solinda.co.id,8d5b0d00-db65-11e7-b9b3-c12b073d1bb5
