"MEDIKA NITRA NUSA FARMA, PT                       ",shanty11.dewi@solinda.co.id,fa4098cd-9551-11e7-871f-3c5282422e68
"MUTIARA FARMA, PT                                 ",shanty12.dewi@solinda.co.id,fa409cdb-9551-11e7-871f-3c5282422e68
"DELTA MITRA SEJATI, PT",shanty13.dewi@solinda.co.id,fa40a285-9551-11e7-871f-3c5282422e68
"KARYA MITRA SUKSES , CV",shanty14.dewi@solinda.co.id,fa40a8a4-9551-11e7-871f-3c5282422e68
RAYA MART,shanty15.dewi@solinda.co.id,fa40aad3-9551-11e7-871f-3c5282422e68
"CITRA MANDIRI DISTRIBUSINDO, PT",shanty16.dewi@solinda.co.id,fa40acd8-9551-11e7-871f-3c5282422e68
"UNITED DICO CITAS , PT   ",shanty17.dewi@solinda.co.id,fa40b105-9551-11e7-871f-3c5282422e68
"DUTA INTIDAYA TBK, PT",shanty18.dewi@solinda.co.id,fa40b40b-9551-11e7-871f-3c5282422e68
"SUPRA BOGA LESTARI TBK, PT",shanty19.dewi@solinda.co.id,fa40b8b8-9551-11e7-871f-3c5282422e68
THE FOODHALL,shanty20.dewi@solinda.co.id,fa40bbc5-9551-11e7-871f-3c5282422e68
TOTAL BUAH,shanty21.dewi@solinda.co.id,fa40be8f-9551-11e7-871f-3c5282422e68
FARMERS MARKET KARAWACI                           ,shanty22.dewi@solinda.co.id,fa40c3e6-9551-11e7-871f-3c5282422e68
CAHAYA SWALAYAN ,shanty23.dewi@solinda.co.id,fa40c91e-9551-11e7-871f-3c5282422e68
MULIA MART                                        ,shanty24.dewi@solinda.co.id,fa40cd16-9551-11e7-871f-3c5282422e68
